,x_avg,y_avg,z_avg,theta_x,theta_y,sigma_x,sigma_y,sigma_z,z_fwhm,sigma_px,sigma_py,alpha_x,alpha_y,beta_x,beta_y,gamma_x,gamma_y,emitt_nx,emitt_ny,emitt_nx_sl,emitt_ny_sl,ene_avg,rel_ene_sp,rel_ene_sp_sl,i_peak,q,laser_dE,laser_dzfoc,laser_dtau,laser_dT,laser_dx,laser_dy,beam_theta_x,beam_theta_y
0,3.0563311966093012e-06,-6.852655746608587e-06,0.006121773798447755,-0.0010377069877191177,0.004219323489843783,2.0640584351723877e-06,2.0054556504421524e-06,2.0628612071233706e-05,5.669577152240136e-05,0.0028790269336324823,0.001772215433678477,-0.3173671206149011,-0.5868496705421035,0.0007467858860710052,0.0012594792431922857,1473.945758453629,1067.4193664421716,5.4860342970641796e-06,3.063824351556832e-06,3.0824475725296418e-06,1.1901696674298233e-06,961.4713391094139,0.002348046401968196,0.0007070468728079973,206.9065439427338,-3.8967069623836286e-11,0.8121726818316208,-61.175641365007536,-0.5281717522634557,-5.3648431107808525,4.3270381466233925,-11.507693484401413,0.87240588210824,-0.3806034504475514
1,-3.6941167737570524e-07,-1.0593350545171234e-06,0.006113040454219695,0.0005314112743722041,0.0013377891910293445,1.8487783193729647e-06,9.74729749457026e-07,2.166216875853688e-05,5.655930326289513e-05,0.0027640635090746446,0.0012758622985359334,-0.285451394349134,-0.4830752737461414,0.0007058840530884499,0.0007513308291463369,1532.0965161403797,1641.569428884286,4.659110345528461e-06,1.216281134475139e-06,2.543060673881599e-06,7.71266884301864e-07,961.7562824071189,0.0012707375290419841,0.0006096938005858431,201.43639153313205,-3.873021685724456e-11,0.15951954802854929,-24.93703754774101,1.462107937044974,-10.30070354748827,-1.6120860200675375,-1.9202717733420782,0.5668847211677187,-0.5499456336570154
2,-3.3607854208286232e-06,3.3812798448757637e-06,0.006111050538891798,0.0018241543086262844,-0.0023761124913788093,2.6693906987938064e-06,1.5813231185527237e-06,2.4718406740229008e-05,7.484200524664458e-05,0.003448475436628912,0.001325870435923567,-0.6114565617087575,-0.6052650423258442,0.0009213400761926493,0.001210022244654422,1491.1748249724694,1129.1906223194512,7.462410394509789e-06,1.9913688902306603e-06,2.952636978280927e-06,1.0083969114235712e-06,964.1797777384962,0.001544738080108048,0.0007515855759283647,170.35801364266635,-3.933561307775858e-11,-0.08621410377521788,-87.78584179213718,0.04221374671559283,2.914076068579111,-5.503095886064607,5.72361854919807,0.4507953602963978,0.2512471694509341
3,-7.851632443665962e-07,1.590368816767283e-06,0.006119951640690472,0.0008933642337854566,-0.0007317974200244517,2.2182973724357644e-06,1.1654848997469658e-06,2.3757728278237717e-05,6.953670546268158e-05,0.0028330425352223816,0.0012241330121593305,-0.16884569915586117,-0.4726339291565956,0.0008141099066351908,0.0009131619342779157,1263.3538318853975,1339.7216693634891,5.819032139697811e-06,1.432085809938144e-06,3.059613772499919e-06,8.467665544750665e-07,962.39627266616,0.0019786360280840405,0.0007540660000572348,193.16728935906673,-4.235124738201251e-11,0.4504279746322059,-68.3727859174333,-0.12289022551864817,-4.678847171295343,-1.3394403981300795,2.65177733369093,-0.3458303758626545,-0.19837676342798868
4,-2.7169419444812162e-06,5.724717089323781e-07,0.006111990259487094,0.0020773253869297717,-0.0007733736854143675,2.6698196173182266e-06,8.978271854334533e-07,2.3975710490255167e-05,7.424039160706247e-05,0.0034691778756522082,0.0012219427640047444,-0.5597704437469275,-0.5725231122950519,0.0008942521454430387,0.0007239411525809451,1468.6494814524192,1834.1031026876883,7.690487109357491e-06,1.0732943565017194e-06,2.9538514038719516e-06,8.12629382946514e-07,963.7004137332425,0.0013080988196411984,0.0007145132388793536,171.24859785497844,-4.007983893687331e-11,-0.3435863500597997,-84.52056414987196,-0.671246130836819,-0.0633229945945068,-5.586551743176389,1.1720784890854608,0.8299010885549353,0.3710220802886678
5,1.8750687200575493e-07,-1.9420935688303167e-06,0.006112578301003197,0.0002616134004163171,0.0007722267597819624,1.925843660269751e-06,1.8933206282994694e-06,2.494109839820667e-05,7.442405221506389e-05,0.0026024432466107967,0.002064216103694793,-0.2767497823766666,-0.5859475943542658,0.0007556708821842595,0.0009962988422513956,1424.681653650142,1348.3249466534944,4.740830263472162e-06,3.477757218206534e-06,2.677814482187144e-06,8.749204390122873e-07,965.4782801302237,0.0012886493464810936,0.0006242843784520021,172.82675291500288,-4.081822367723908e-11,-0.09591777618080746,-88.76289640848363,-0.7471582937508376,8.462273005138734,0.25403877388014484,-3.184978232846767,0.09545774233373301,1.050127568239421
6,-2.9323989956929965e-06,-8.647578865862752e-07,0.006121802948311214,0.0028964830638194584,0.0006095629391525564,2.282776916119563e-06,1.125071141989962e-06,2.0237478333702765e-05,4.553815060652153e-05,0.0027116575444129506,0.001025013485300663,-0.45749637924034514,-0.6473837471464712,0.0009660394067274717,0.0011163905204394208,1251.8153282324442,1271.1552902749784,5.199479801376583e-06,1.0934486454061698e-06,2.8125542875285865e-06,6.625890174117816e-07,962.9850455934612,0.0019014259999931313,0.0006680078598544153,200.67252807016712,-3.4489722975709586e-11,0.060079476240814576,61.72031097074192,0.3001703199558275,-1.7612492324675932,-5.712590990110701,-1.7467136120643876,-0.10444711668738905,0.2933115955910988
7,-1.7963797628313524e-06,3.159149603494126e-06,0.006122362806753925,0.002041476506424555,-0.0026516147193580584,2.1785921790756975e-06,1.481792588954766e-06,2.1003040616196033e-05,4.662402101807128e-05,0.002830550984516416,0.001124780908450794,-0.5033166688864054,-0.8144947177140255,0.0008836912669537971,0.0014750410400495022,1418.2868112970007,1127.6985521217948,5.187606802792288e-06,1.4387153441930423e-06,2.75676157886656e-06,6.753590575533739e-07,964.5606813009232,0.0017178160723916396,0.0006259161196462191,182.09049373004353,-3.145968695030356e-11,0.41949170693725246,93.11020813035573,0.2855873252542588,4.42570582135364,-3.7719897049832642,6.264340776166439,0.2564649102090044,-0.14904641755135783
8,5.696903855376962e-06,-3.884388792293777e-06,0.0061135753374566525,-0.003456179488311248,0.0029842973906079734,2.9358328992526758e-06,1.5632832881400536e-06,1.9558063826964037e-05,5.220740749857858e-05,0.002578911690683054,0.00148631183228513,-0.4602203724951294,-0.5484688570852959,0.0012779242879520614,0.0011265656245591064,948.2586743863607,1154.6758207730152,6.506138561235275e-06,2.088583869408467e-06,3.2044525624671912e-06,1.153756133939564e-06,964.2992299210105,0.003163777883780166,0.0008311469307403151,206.63409997770577,-3.616999304894964e-11,0.24425907326874852,-7.557171302105573,1.131629387451427,7.599084082110994,10.927877032665807,-6.982481677440688,-0.7220569027147947,-0.2522329314732256
9,-6.864624655154947e-07,2.011810594120667e-06,0.0061242443450319275,0.0010278631573102418,-0.0019288594469096287,1.9988592064686566e-06,1.1111285033803273e-06,2.0543711966188133e-05,4.68494535015157e-05,0.0025425149605491234,0.0011890848430906147,-0.3731323442753631,-0.6262718048331235,0.0008573866534212542,0.0009735763865267866,1328.72111059641,1430.0021988984765,4.485282715904759e-06,1.2199504908494418e-06,2.6426814676181794e-06,6.125084970601097e-07,961.5760105175717,0.001799556734612789,0.0006066389826835435,184.7454809232404,-3.213671127695941e-11,0.08001853472391524,87.61689211162249,0.31563494724160523,-10.111006079120015,-1.5310200631418591,4.139873213036231,0.1150473676821917,0.3810055901560124
10,3.366301479181288e-07,2.423564976930599e-07,0.006115843835606845,-3.870171006882453e-05,-0.0004364793629642971,1.9165602045333953e-06,9.221901937551898e-07,2.1622298906411325e-05,5.579746974820714e-05,0.002595102986908091,0.0011073725956772626,-0.17680729046300175,-0.4456115517274495,0.0007691227066371525,0.000783369017116212,1340.8274246249555,1530.0192231819385,4.60345563624287e-06,1.046482225319778e-06,2.870718345191799e-06,7.734929452943607e-07,963.6801115045336,0.001508457848479867,0.000622398766600564,203.1505022299914,-3.971222813209835e-11,-0.11116407130517963,-20.075806892999744,0.1865613909882843,2.0502582360412815,0.9914986006338488,0.5950432290372941,-0.3353311431445153,0.1887818931604597
11,-6.603978876898762e-07,-1.4359460162283507e-06,0.006118489698155484,0.0011489380371417165,0.001476812146758726,1.9094042092280113e-06,1.075975541757785e-06,2.0839770244653616e-05,5.419929753109308e-05,0.002601076834132223,0.0009069860000780212,-0.3973757427879707,-0.6513878317832805,0.0008096871691231385,0.0011749429047439738,1430.067716412331,1212.2343150841762,4.34689354733564e-06,9.515233045931382e-07,2.547799743498845e-06,5.91752753733443e-07,964.535484638961,0.0013485217907379537,0.0005285421452883454,154.31933175995903,-2.8968154557547403e-11,0.060910635495718464,112.94839079119197,1.198917879901507,0.9257820874197192,-1.876424750450571,-3.1936520372711117,0.21174717703205645,0.03867003417427971
12,-1.1044020023894785e-06,3.1444350610897765e-06,0.0061182532543035545,0.001304357783463011,-0.0027927351121092236,2.051105838076126e-06,1.3424396019055206e-06,2.0703568200281952e-05,5.234979781556896e-05,0.002761581943939797,0.0011933525793780136,-0.412496020882595,-0.5984822049302552,0.0008349819249604779,0.0011565735027692222,1401.4111350965602,1174.3144265074743,4.858926331507973e-06,1.5006924058980076e-06,2.85142115770152e-06,7.65480744936953e-07,963.4668397675871,0.0017977021836729642,0.0006420947887923717,217.6183105513013,-3.9092919317938716e-11,-0.1719268377855378,4.3596856834246935,-0.6200008439481293,3.4901601703610945,-2.2356428239299913,6.122538524027494,0.2017458208954,0.2967892616185335
13,-1.0558318370967143e-06,9.096509774213373e-08,0.006114745270948684,0.0012301057457632298,-0.0002391581257587832,1.8555310691652955e-06,9.365324200069369e-07,2.0001109903807406e-05,4.6556269795543226e-05,0.0025065104320452507,0.0010442406541071195,-0.23836661556811795,-0.42991776097400813,0.0007767666561041224,0.0008462071663234223,1360.5355419320892,1400.1645558601426,4.267247732059332e-06,9.981122275348753e-07,2.6607578507659844e-06,7.488695206198359e-07,962.7775378817543,0.0018919935837654227,0.0006184744195338932,205.15539799952214,-3.5472359432985714e-11,-0.5474559228705209,16.93824330586681,0.7405564510962748,-4.768503009039673,-1.3310925300181102,0.1630727334667928,-0.6865586601233779,0.15757969602114588
